XH KV,ĐTQG,XH FIFA,Điểm hiện tại
110,Bắc Triều Tiên,110,1183
111,Azerbaijan,111,1179
112,Mauritania,112,1177
113,Tanzania,113,1174
114,Guinea Bissau,114,1168
115,Việt Nam,115,1168
116,Lebanon,116,1167
117,Libya,117,1165
118,Congo,118,1162
119,Comoros,119,1159
120,Đi,120,1158
121,Sudan,121,1152
122,Sierra Leone,122,1149
123,Estonia,123,1146
124,Ấn Độ,124,1139
125,Niger,125,1139
126,Malawi,126,1137
127,Síp,127,1136
128,Cộng hòa trung phi,128,1129
129,Zimbabwe,129,1126
130,Nicaragua,130,1119
131,Rwanda,131,1114
132,Gambia,132,1112
133,Indonesia,133,1108
134,Malaysia,134,1107
135,Lithuania,135,1100
136,Kuwait,136,1098
137,Latvia,137,1095
138,Faroe Islands,138,1093
139,Burundi,139,1091
140,Suriname,140,1087
141,Quần đảo Solomon,141,1075
142,Liberia,142,1067
143,Ethiopia,143,1066
144,Turkmenistan,144,1065
145,Botswana,145,1063
146,Saint Kitts and Nevis,146,1059
147,Philippines,147,1053
148,Antigua Barbuda,148,1052
149,Lesotho,149,1046
150,Cộng hòa Dominica,150,1045
151,Afghanistan,151,1034
152,Moldova,152,1033
153,Fiji,153,1033
154,Guyana,154,1026
155,Eswatini,155,1025
156,Yemen,156,1021
157,Puerto Rico,157,1020
158,Tahiti,158,1016
159,Hong Kong,159,1011
160,New Caledonia,160,1008
161,Singapore,161,1008
162,Vanuatu,162,1005
163,Maldives,163,1003
164,Andorra,164,996
165,Chinese Taipei,165,991
166,Myanmar,166,988
167,Cuba,167,984
168,Papua New Guinea,168,984
169,phía nam Sudan,169,980
170,St. Lucia,170,979
171,Bermuda,171,971
172,Malta,172,970
173,Grenada,173,953
174,St. Vincent Grenadines,174,938
175,Nepal,175,935
176,Montserrat,176,934
177,Barbados,177,932
178,Chad,178,929
179,Mauritius,179,927
180,Campuchia,180,924
181,Dominica,181,912
182,Bhutan,182,904
183,Belize,183,901
184,Bangladesh,184,896
185,Ma Cao,185,896
186,Cook Islands,186,896
187,American Samoa,187,890
188,Lào,188,889
189,Mông Cổ,189,884
190,Brunei Darussalam,190,881
191,Sao Tome Principe,191,878
192,Samoa,192,876
193,Djibouti,193,875
194,Aruba,194,873
195,Cayman Islands,195,855
196,Timor Leste,196,843
197,Pakistan,197,842
198,Gibraltar,198,836
199,Liechtenstein,199,835
200,Tonga,200,833
201,Seychelles,201,831
202,Somalia,202,829
203,Bahamas,203,823
204,Guam Island,204,821
205,Sri Lanka,205,820
206,Turks Caicos Islands,206,817
207,British Virgin Islands,207,801
208,US Virgin Islands,208,797
209,Anguilla,209,779
210,San Marino,210,739
